timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
44817765199,2,2,-5,-1,-7,48,-44,-8
44817765199,19,-8,5,14,27,22,96,23
44817767782,2,-10,-16,-8,-19,13,-70,-8
44817767782,25,-5,6,-5,0,-34,-37,-2
44817768601,-14,-5,-3,3,-1,-16,29,4
44817768601,-9,8,5,0,-9,-16,-30,-6
44817769420,18,-12,-4,-10,4,-8,22,-9
44817769420,-33,15,2,7,1,8,1,1
44817777918,0,1,-5,-4,-2,-3,-9,-5
44817777918,-15,0,-9,-4,-8,25,-2,0
44817781485,49,-10,-21,-15,5,-32,12,-2
44817781485,-5,-6,-22,-4,-6,18,-8,-3
44817796488,0,-4,-6,-3,-5,1,22,-9
44817796488,-18,4,1,-3,-5,9,-25,-5
44817805191,-24,4,34,13,3,7,11,6
44817805191,25,-5,22,-16,6,-8,15,7
44817813044,-5,-4,23,7,11,-22,-47,3
44817813044,-6,-4,10,-5,-5,-20,28,-23
44817826645,-1,2,20,7,8,38,7,22
44817826645,-26,-6,-13,3,-14,9,-10,-17
44817837997,41,0,-4,4,13,-4,16,50
44817837997,-3,9,-29,-5,-9,-5,-25,-18
44817849365,-24,1,-22,1,-6,4,4,-4
44817849365,-12,1,-6,1,4,37,17,-7
44817889842,-9,-13,-1,4,2,5,-10,1
44817889842,-16,7,6,-4,-18,6,1,-2
44817890709,24,11,-7,3,24,-3,26,3
44817890709,2,1,4,1,-2,-3,-10,0
44817891366,-2,-3,-11,1,-4,-9,2,-6
44817891366,-19,3,3,1,2,-11,-28,0
44817894623,2,-1,-2,-3,-5,0,19,2
44817894623,2,-6,-3,1,-1,11,-11,-5
44817901451,-2,2,2,-3,-8,2,7,3
44817901451,-12,-3,-1,2,9,-13,-6,-10
44817909574,-13,-7,9,-4,-9,-4,-25,-5
44817909574,13,8,18,1,2,7,25,20
44817916272,12,-1,-6,3,-7,8,-18,12
44817916272,6,-1,4,-5,2,3,3,2
44817932116,7,-6,3,-8,-2,-13,-1,-16
44817932116,-23,0,3,4,-1,-3,-23,-9
44817938906,2,6,-1,-2,1,-10,2,3
44817938906,7,1,-13,-4,0,0,13,1
44817946460,-10,3,-14,1,-2,5,-15,0
44817946460,0,1,-16,-4,-3,-5,13,3
44817961441,3,0,-3,-1,6,3,13,-1
44817961441,9,-6,-14,2,-2,-5,-8,-2
44817969455,-18,-1,4,1,-5,7,-5,-25
44817969455,-13,-3,-4,-8,-7,-37,-49,-14
44817976402,61,1,11,13,15,48,100,58
44817976402,0,0,6,-7,-14,15,-60,-11
44818000419,1,-2,14,-2,-5,-11,-7,9
44818000419,-22,-13,11,-2,0,-19,-21,-28
44818001826,-19,2,24,0,5,-20,-15,-26
44818001826,6,-3,20,3,1,-2,35,18
44818006290,-5,1,-8,3,-2,22,11,-3
44818006290,8,-3,-21,-1,-4,-2,-14,7
44818021298,-15,2,-1,-3,-1,-1,19,-11
44818021298,4,1,-21,1,-4,0,1,9
44818029506,7,-4,-12,-1,-3,-13,-21,-1
44818029506,-3,2,-6,0,2,6,24,2
44818036288,-9,-3,-11,-4,-6,-13,-40,-9
44818036288,-12,-3,-6,-2,-1,-6,-8,-13
44818052094,18,5,2,4,5,10,44,10
44818052094,19,5,-4,-5,-5,8,0,17
44818058934,-10,-3,-4,-6,-3,-11,-29,-20
44818058934,-8,-4,5,2,3,-7,-1,-10
44818066465,-3,-1,7,1,-3,-6,-11,8
44818066465,-13,-3,3,4,-1,6,10,0
44818081366,-8,3,5,-4,-7,-10,-15,-8
44818081366,46,7,2,3,17,22,37,39
44818089500,-28,-17,-2,1,-6,8,-11,6
44818089500,11,-2,-2,1,7,-6,1,-9
44818096373,-14,-3,-7,-3,-3,-11,-18,-11
44818096373,-13,-3,-4,0,-1,-5,3,-10
44818112103,-10,4,-4,-2,-1,15,7,4
44818112103,24,-3,-11,-8,0,-16,-27,-12
44818118940,-5,-6,-8,3,4,6,21,7
44818118940,0,-4,-8,2,0,-2,-17,-4
44818126441,-2,-2,-1,1,0,9,-2,-5
44818126441,-7,-2,-3,0,-4,13,0,-4
44818141260,5,6,0,-2,-5,-3,-4,3
44818141260,18,5,4,-10,-1,-19,-2,-15
44818149591,-5,9,11,1,-4,-15,-17,-11
44818149591,-3,2,11,1,-1,1,8,1
44818156298,-9,-4,5,5,3,20,14,4
44818156298,-14,-5,-10,-2,-6,14,2,-5
44818171995,-2,4,-9,-4,-4,-5,-30,13
44818171995,11,-2,-6,-1,-1,-4,47,4
44818178948,-9,-10,-6,1,0,-8,-32,-6
44818178948,-7,-2,0,-2,-4,-2,6,-1
44818186415,11,0,-4,-2,1,-7,-3,-1
44818186415,-20,0,-5,3,-1,11,14,1
44818201328,6,-2,-6,-6,-4,0,-17,-2
44818201328,-7,-2,0,3,0,-14,21,-2
44818210045,9,-2,-3,0,3,21,17,11
44818210045,11,0,17,4,2,8,-6,13
