timestamp,x,y,z
44817617742,549.312,13.5,-37
44817632821,265.75,-5.375,7.3125
44817654024,57.3125,-8.5,28.5625
44817677766,103.25,-10.9375,20.0625
44817692771,76.5625,-1.6875,16.125
44817729624,1.75,8.125,2.6875
44817762341,-75.5,33.8125,-4.9375
44817764501,-97.625,30.0625,13.875
44817775887,-131.875,3.5,20.1875
44817790349,-143.438,-0.1875,4.9375
44817812219,-155.688,10.75,-4.125
44817835849,-138.375,17,8.5
44817878831,-110.312,4.75,5.875
44817888998,-84.625,7.5,-9.625
44817895316,-69.9375,8.625,-3.375
44817910398,-49.0625,9.6875,-0.8125
44817932960,-30.4375,9.75,-0.9375
44817953835,-56.25,10.75,-1.5
44817970340,-48.5625,5.375,-0.3125
44818001009,9.375,6.125,-4.125
44818013858,41.625,5.5625,-7.8125
44818030317,5.75,2.125,-4.5
44818052830,-17,-0.4375,-4.5
44818073973,2.875,0.8125,-6.9375
44818090260,-6,2.0625,-5.3125
44818112925,-38.9375,-0.375,-0.625
44818133882,-48.9375,0.625,-0.625
44818150405,-15.875,2,-2.6875
44818172903,-17,-0.875,-2.9375
44818194025,-24.75,-0.5,-2.9375
44818224567,-17.75,-0.375,-2.0625
44818232873,8.3125,-2.0625,-3.75
44818253894,-13.625,-2.875,-1.5
44818277064,-3.8125,2.375,-2
44818292944,21.375,2.25,-0.75
44818313897,-12,0.375,2
44818330424,-5.5625,5.6875,1
44818352824,16.75,2.9375,2.3125
44818374040,10.8125,3,1.5625
44818391117,1.6875,2,1.125
44818413010,20.125,2.5,1
44818433862,15,1.125,0.9375
44818450299,-10.4375,2.25,1.375
44818472767,-6.9375,1.1875,2.1875
44818495297,4.5,1.9375,2.75
44818510269,5.4375,1.375,2.8125
44818532045,-0.9375,0.0625,3.4375
44818554996,-3.125,1.25,3.25
44818569507,-8.25,-1.125,3.25
44818592043,-21.125,-0.9375,2.875
44818614510,-17.5625,-1.0625,1.625
44818629513,-20.25,-3.625,1.9375
44818652064,-27.875,-3.75,0.5
44818674514,-21.875,-3.625,-1.25
44818689516,-10.625,-4.5625,-2.1875
44818712520,-10.75,-3.5625,-1.3125
44818734513,-18.1875,-2.25,-0.625
44818749505,-14.3125,-2.625,-0.9375
44818780207,-19.1875,-2.9375,-0.3125
44818786340,-2.5,-0.5625,0
44818809496,9.875,0.25,0.0625
44818831980,-8.625,-1.3125,1.875
44818846358,-10.75,1.6875,1.625
44818868882,0.125,4.8125,2.375
44818892012,15.625,0.9375,2.6875
44818906548,10.8125,4.125,2
44818928990,0.5625,2,1.5625
44818952161,-4.5625,3.25,2.9375
44818966543,8.5625,3.625,2.6875
44818988977,17.8125,2.4375,1.6875
44819011435,10.25,1.6875,0.8125
44819026561,2.9375,0,0.25
44819048952,10.5,1.875,0.1875
44819071427,9.125,0.9375,2
44819086451,-5.375,0.9375,0.75
44819109074,-1.25,-1.0625,-0.875
44819131599,1.4375,-0.6875,-1.3125
44819146426,6.375,-2.5625,-2.625
44819169047,9.4375,-2.875,-3.5
44819191582,8.1875,-3.625,-3.9375
44819206542,1.75,-3.25,-3.9375
44819229073,2.625,-5.0625,-4.375
44819251489,22.875,-2.375,-4.75
44819266443,51.4375,-4.6875,-5.5625
44819288978,71.125,-8.4375,-6.625
44819311620,87.6875,-11.5,-11.75
44819334728,121.688,-8.1875,-15.6875
44819349040,107.312,-16.5625,-12.875
44819371467,119.812,-14.75,-19.875
44819394651,195,-14.1875,-29.75
44819409067,187.25,-24.1875,-34.8125
44819431604,100.625,-30.3125,-37.625
44819446623,118.188,-27.0625,-51.875
44819469073,149.25,-41.6875,-59.75
44819491418,85.125,-35.875,-75.3125
44819506628,-5.0625,-31.375,-59.8125
44819529096,7.0625,-37.125,-54.375
