timestamp,x,y,z,w
44817617742,0.552551,-0.398254,-0.6604,-0.316284
44817632821,0.536072,-0.430298,-0.641968,-0.339661
44817654024,0.526367,-0.441284,-0.642578,-0.339661
44817677766,0.517883,-0.453918,-0.63623,-0.347839
44817692771,0.513794,-0.465759,-0.628845,-0.351562
44817729624,0.518555,-0.468018,-0.623962,-0.350403
44817762341,0.528809,-0.461792,-0.625061,-0.341309
44817764501,0.531555,-0.456238,-0.635315,-0.325134
44817775887,0.536621,-0.443909,-0.6474,-0.309692
44817790349,0.544434,-0.428101,-0.657959,-0.295776
44817812219,0.554932,-0.410156,-0.667114,-0.280823
44817835849,0.562805,-0.39563,-0.675659,-0.265137
44817878831,0.567627,-0.382751,-0.683411,-0.253662
44817888998,0.572083,-0.37146,-0.688599,-0.246216
44817895316,0.57666,-0.362,-0.691956,-0.240112
44817910398,0.580261,-0.355408,-0.693909,-0.235657
44817932960,0.582764,-0.3526,-0.694641,-0.231506
44817953835,0.585999,-0.346924,-0.697083,-0.224426
44817970340,0.589294,-0.340027,-0.699036,-0.220337
44818001009,0.591248,-0.339661,-0.696655,-0.222961
44818013858,0.591064,-0.345642,-0.692749,-0.226501
44818030317,0.591187,-0.347717,-0.691833,-0.225891
44818052830,0.591919,-0.344604,-0.692932,-0.22522
44818073973,0.592407,-0.343201,-0.692566,-0.227295
44818090260,0.592529,-0.342468,-0.692993,-0.226624
44818112925,0.593689,-0.338318,-0.695557,-0.222046
44818133882,0.595764,-0.331787,-0.698364,-0.217529
44818150405,0.59668,-0.329224,-0.699158,-0.216492
44818172903,0.597473,-0.327576,-0.699829,-0.214417
44818194025,0.598816,-0.324768,-0.700806,-0.211792
44818224567,0.59967,-0.322083,-0.701721,-0.21051
44818232873,0.598877,-0.322937,-0.70166,-0.211548
44818253894,0.599365,-0.32019,-0.702576,-0.211304
44818277064,0.599792,-0.317932,-0.702881,-0.212463
44818292944,0.59845,-0.320435,-0.702271,-0.214661
44818313897,0.598877,-0.319214,-0.702881,-0.213135
44818330424,0.599854,-0.31781,-0.702759,-0.213074
44818352824,0.599365,-0.320312,-0.70166,-0.214294
