timestamp,roll,pitch,yaw
44817617742,1.18267,1.37937,-3.0241
44817632821,1.28691,1.37346,-3.01259
44817654024,1.30782,1.35236,-3.01208
44817677766,1.33806,1.34568,-3.01798
44817692771,1.40241,1.34086,-2.98081
44817729624,1.46191,1.3472,-2.92317
44817762341,1.50516,1.35266,-2.85301
44817764501,1.49153,1.33397,-2.8304
44817775887,1.4478,1.32427,-2.8277
44817790349,1.40391,1.32389,-2.82188
44817812219,1.37123,1.32841,-2.80002
44817835849,1.34822,1.32655,-2.77408
44817878831,1.31064,1.32533,-2.77264
44817888998,1.27727,1.3285,-2.77576
44817895316,1.25647,1.33312,-2.77161
44817910398,1.24613,1.33705,-2.76448
44817932960,1.25407,1.33738,-2.74563
44817953835,1.25333,1.33658,-2.72638
44817970340,1.23936,1.34102,-2.72328
44818001009,1.24799,1.34787,-2.71723
44818013858,1.28365,1.34896,-2.69661
44818030317,1.30103,1.34716,-2.68184
44818052830,1.28599,1.34918,-2.69046
44818073973,1.27618,1.35394,-2.70136
44818090260,1.27303,1.35339,-2.70192
44818112925,1.26147,1.35188,-2.70033
44818133882,1.24074,1.35342,-2.70401
44818150405,1.23206,1.35541,-2.70738
44818172903,1.23129,1.35466,-2.70188
44818194025,1.22818,1.35532,-2.69675
44818224567,1.2187,1.35688,-2.70024
44818232873,1.21558,1.35614,-2.70601
44818253894,1.19984,1.35833,-2.71706
44818277064,1.18354,1.36191,-2.73147
44818292944,1.18537,1.36121,-2.73731
44818313897,1.18355,1.36041,-2.73455
44818330424,1.18166,1.36325,-2.73456
44818352824,1.19354,1.3625,-2.72837
44818374040,1.21738,1.36101,-2.70879
44818391117,1.23163,1.36002,-2.69445
44818413010,1.24124,1.36015,-2.69239
44818433862,1.24816,1.35852,-2.69041
44818450299,1.24429,1.35924,-2.69075
44818472767,1.2428,1.36051,-2.68969
44818495297,1.25127,1.35936,-2.68196
44818510269,1.25893,1.35764,-2.6764
44818532045,1.25899,1.35686,-2.67586
44818554996,1.25768,1.35599,-2.67571
44818569507,1.26192,1.35397,-2.66896
44818592043,1.26145,1.35201,-2.66204
44818614510,1.25349,1.35134,-2.66416
44818629513,1.24597,1.34839,-2.66485
44818652064,1.23615,1.34625,-2.6652
44818674514,1.22014,1.34594,-2.67391
44818689516,1.20205,1.3469,-2.68813
44818712520,1.19317,1.34659,-2.69353
44818734513,1.18101,1.34703,-2.69928
44818749505,1.17368,1.34656,-2.70187
44818780207,1.16519,1.34681,-2.70373
44818786340,1.15384,1.34877,-2.71409
44818809496,1.15201,1.34672,-2.71939
44818831980,1.14322,1.34619,-2.72484
44818846358,1.14217,1.34785,-2.72217
44818868882,1.14692,1.34781,-2.71708
44818892012,1.15728,1.34634,-2.71219
44818906548,1.16469,1.34606,-2.70822
44818928990,1.16942,1.34629,-2.70365
44818952161,1.17881,1.34738,-2.69262
44818966543,1.18972,1.34745,-2.68437
44818988977,1.20351,1.34537,-2.67712
44819011435,1.21078,1.34354,-2.67332
44819026561,1.2135,1.3447,-2.6717
44819048952,1.21783,1.34686,-2.67113
44819071427,1.22725,1.34419,-2.66462
44819086451,1.22862,1.34296,-2.66132
44819109074,1.23007,1.34378,-2.66018
44819131599,1.23405,1.34333,-2.65629
44819146426,1.23683,1.34364,-2.6562
44819169047,1.2363,1.34346,-2.66008
44819191582,1.23251,1.34291,-2.66686
44819206542,1.2231,1.34329,-2.67715
44819229073,1.2094,1.34766,-2.69239
44819251489,1.2082,1.35089,-2.70108
44819266443,1.21992,1.35241,-2.70777
44819288978,1.23659,1.35185,-2.71629
44819311620,1.24666,1.35527,-2.73741
44819334728,1.27215,1.35912,-2.75559
44819349040,1.28032,1.36084,-2.78522
44819371467,1.2886,1.36644,-2.81927
44819394651,1.32163,1.37369,-2.85513
44819409067,1.33526,1.37992,-2.90837
44819431604,1.30105,1.38883,-2.97894
44819446623,1.25741,1.40354,-3.06493
44819469073,1.19765,1.4159,3.10467
44819491418,1.10769,1.423,2.9832
44819506628,0.901055,1.43364,2.7771
44819529096,0.666034,1.44508,2.53903
44819552933,0.554887,1.45254,2.42167
44819566520,0.40056,1.4476,2.2506
44819589093,0.221035,1.43632,2.05623
44819611553,0.0683945,1.4322,1.9097
44819626547,-0.0811705,1.43179,1.78211
44819649099,-0.169762,1.42713,1.70734
44819671510,-0.203325,1.41894,1.65773
44819686480,-0.226458,1.41655,1.62602
44819709093,-0.297018,1.42104,1.56201
44819731635,-0.407288,1.41916,1.46464
44819747936,-0.37861,1.41844,1.48461
44819768954,-0.387428,1.42056,1.46276
44819791604,-0.493345,1.42794,1.36796
44819807967,-0.602813,1.43722,1.28313
44819829146,-0.612864,1.43678,1.28414
44819851629,-0.500269,1.43233,1.3792
44819867902,-0.456373,1.4491,1.42683
44819889124,-0.567823,1.46444,1.35218
44819911627,-0.695722,1.46791,1.239
44819927995,-0.684622,1.47095,1.23714
44819949123,-0.737416,1.48633,1.19693
44819971543,-0.822348,1.49389,1.13842
44819987896,-0.746206,1.4858,1.21211
44820009104,-0.615511,1.4864,1.33149
44820031584,-0.582724,1.49225,1.36128
44820047947,-0.57005,1.51883,1.39268
44820068989,-0.780585,1.52596,1.19112
44820091624,-1.20467,1.5215,0.766498
44820109518,-1.63952,1.51813,0.343437
44820128980,-1.85708,1.51095,0.13604
44820151533,-1.80959,1.51455,0.188868
44820167988,-1.33934,1.52283,0.641802
44820188985,-0.99845,1.5233,0.965899
44820211616,-1.43106,1.53627,0.561669
44820227966,-2.11139,1.53158,-0.088601
44820248952,-2.05372,1.52614,-0.0320196
44820271581,-1.7413,1.53189,0.253118
44820287916,-1.71218,1.54203,0.275344
44820309093,-2.33106,1.54224,-0.322296
44820331623,-2.61564,1.53811,-0.592402
44820347992,-2.46511,1.54764,-0.449647
44820369153,-2.17142,1.55175,-0.166141
44820391582,-2.39925,1.54316,-0.385128
44820408107,-2.4568,1.53953,-0.431924
44820429112,-2.27682,1.53506,-0.256422
44820451654,-2.09912,1.53299,-0.0791716
44820467972,-1.91463,1.52632,0.109515
44820489122,-1.6848,1.52007,0.341012
44820511684,-1.38577,1.51011,0.63176
44820527988,-1.19238,1.49293,0.808465
44820549057,-1.14926,1.48355,0.850631
44820571509,-1.10689,1.46654,0.886124
44820587957,-1.05066,1.45272,0.921719
44820612050,-1.07474,1.44762,0.887785
44820625553,-1.1093,1.44505,0.854293
44820647970,-1.0645,1.42956,0.882272
44820668990,-1.00085,1.42083,0.919311
44820685518,-0.993964,1.42577,0.922557
44820707978,-0.972642,1.42462,0.939601
44820730561,-0.950254,1.42254,0.947931
44820745372,-0.951842,1.42529,0.936394
44820768030,-0.939569,1.43121,0.946966
44820790464,-0.858889,1.43249,1.01556
44820805449,-0.787334,1.42928,1.063
44820827231,-0.747866,1.43947,1.09251
44820849768,-0.721203,1.44908,1.11288
44820872206,-0.703643,1.45955,1.12524
44820894672,-0.631591,1.46979,1.19276
44820909819,-0.498215,1.48,1.31398
44820940472,-0.304951,1.49562,1.49231
44820947225,-0.0670545,1.50744,1.71466
44820969801,0.200292,1.51964,1.97243
44820985520,0.683081,1.52642,2.46457
44821007320,1.16463,1.51435,2.94703
44821029815,1.45249,1.49616,-3.05555
44821045548,1.62114,1.47454,-2.87473
44821074806,1.68037,1.44815,-2.78524
44821089861,1.7226,1.42253,-2.70549
44821106214,1.69003,1.41488,-2.67389
44821127182,1.64895,1.38669,-2.68579
44821149801,1.56661,1.40211,-2.78806
44821173700,1.55263,1.41517,-2.81013
44821187243,1.54325,1.41468,-2.79847
44821209657,1.503,1.41009,-2.83226
44821226198,1.49973,1.40217,-2.84416
44821247220,1.46191,1.40266,-2.87277
44821269780,1.40255,1.41201,-2.92313
44821286271,1.38217,1.41382,-2.95235
44821307285,1.39012,1.40372,-2.95091
44821329787,1.37048,1.40004,-2.9633
44821346268,1.35629,1.40222,-2.97755
44821368612,1.34689,1.40363,-2.9926
44821389819,1.3269,1.40767,-3.01481
44821406172,1.30834,1.40591,-3.03804
44821427376,1.30822,1.39951,-3.03776
44821449944,1.29537,1.40031,-3.04748
44821466188,1.26332,1.40398,-3.08367
44821487221,1.24196,1.40397,-3.11157
44821509687,1.23067,1.39984,-3.12167
44821526188,1.20093,1.40174,3.1365
44821547365,1.15817,1.40574,3.08838
44821569862,1.13835,1.40806,3.05992
44821586202,1.13439,1.40936,3.05242
44821607320,1.13958,1.40948,3.05348
44821631212,1.09688,1.41273,2.99991
44821645537,1.02394,1.42081,2.91797
44821667391,1.00183,1.42589,2.89735
44821689727,1.00636,1.42583,2.90108
44821705486,0.988258,1.42365,2.87318
44821727372,0.882269,1.43029,2.76042
44821749873,0.780639,1.43617,2.6673
44821765551,0.76336,1.4361,2.64896
44821787171,0.76482,1.43414,2.64397
44821809697,0.696918,1.43363,2.57579
44821832259,0.590849,1.43514,2.4731
44821848837,0.543363,1.43504,2.43024
44821869845,0.533534,1.43233,2.41696
44821885537,0.424423,1.42806,2.31057
44821908806,0.295784,1.42134,2.18787
44821929783,0.191781,1.4138,2.08676
44821945573,0.208027,1.4093,2.09992
44821968892,0.193243,1.40458,2.08362
44821997335,0.0847836,1.39819,1.97726
44822005531,-0.00770619,1.39632,1.88996
44822028766,-0.0386705,1.39721,1.85986
44822049872,-0.0268379,1.40126,1.8744
44822065534,-0.0214414,1.40377,1.88255
44822088781,-0.0484577,1.40198,1.85504
44822109951,-0.100523,1.40156,1.81299
44822125565,-0.130705,1.39559,1.78253
44822148850,-0.134121,1.39256,1.76471
44822169868,-0.155825,1.39768,1.74098
44822185615,-0.229644,1.40656,1.68968
44822208715,-0.287914,1.39914,1.64027
44822229949,-0.26008,1.39411,1.65537
44822245547,-0.240943,1.40644,1.67667
44822268813,-0.335633,1.41089,1.62348
44822289954,-0.46987,1.4063,1.51328
44822305508,-0.455933,1.40621,1.50579
44822328807,-0.391232,1.4156,1.5508
44822349918,-0.459173,1.42717,1.5048
44822365636,-0.549415,1.43684,1.43893
44822388823,-0.530095,1.43645,1.43498
44822409845,-0.483488,1.44552,1.46634
44822425500,-0.564297,1.46003,1.41361
44822448724,-0.618333,1.47266,1.39035
44822469887,-0.498717,1.4673,1.4894
44822485567,-0.363306,1.4684,1.6025
44822508750,-0.422402,1.48074,1.56467
44822529812,-0.401199,1.49789,1.62709
44822545564,-0.352835,1.50151,1.67525
44822568736,-0.133718,1.50675,1.87597
44822589787,0.0181788,1.51836,2.04441
44822605602,0.0862693,1.52618,2.13885
44822628123,0.127625,1.53242,2.19357
44822649877,0.320409,1.53352,2.39001
44822665601,0.494175,1.52639,2.56818
44822688071,0.742138,1.52163,2.82122
44822709840,1.04203,1.52853,-3.14155
44822725659,0.939412,1.53972,3.05248
44822748041,0.808113,1.53075,2.91481
44822771197,0.91607,1.51778,3.02031
44822785516,1.0144,1.51707,3.12836
44822808088,0.98697,1.51901,3.10628
44822831274,0.954404,1.51156,3.06242
44822845623,1.1378,1.5043,-3.0294
44822868119,1.37756,1.49872,-2.77172
44822891390,1.46685,1.50606,-2.68224
44822905557,1.44319,1.51401,-2.72432
44822928096,1.53888,1.51255,-2.63318
44822951336,1.71698,1.5153,-2.4454
44822965609,1.64364,1.51663,-2.5201
44822988073,1.49047,1.51307,-2.69011
44823011263,1.47778,1.51194,-2.70577
44823032450,1.55656,1.51806,-2.62049
44823048166,1.62376,1.52538,-2.54912
44823071249,1.71952,1.5292,-2.44774
44823092445,1.64877,1.53298,-2.51854
44823108211,1.38349,1.53436,-2.79305
44823121662,1.21613,1.5347,-2.97282
44823144272,1.37278,1.54275,-2.80904
44823167418,1.45533,1.54996,-2.70489
44823181801,0.583283,1.54644,2.69212
44823204319,0.397275,1.51809,2.48755
44823227460,0.206689,1.51134,2.30648
44823241813,0.0533609,1.50668,2.17535
44823273078,-0.0770297,1.48279,2.02791
44823287335,-0.136431,1.46519,1.94949
44823301706,-0.266587,1.46335,1.82683
44823324905,-0.378397,1.45704,1.71565
44823347318,-0.390305,1.44065,1.6723
44823361763,-0.411051,1.43634,1.62307
44823384952,-0.503434,1.44824,1.5396
