timestamp,x,y,z
42844491882,-0.956543,-0.160645,0.138184
42844512946,-0.981445,-0.130859,0.138184
42844536243,-0.981934,-0.116699,0.137695
42844550474,-0.97998,-0.126953,0.126953
42844572972,-0.973145,-0.140137,0.121094
42844596080,-0.970703,-0.125488,0.119141
42844610441,-0.981934,-0.117676,0.115723
42844633047,-0.978027,-0.112305,0.127441
42844656202,-0.975586,-0.131348,0.132812
42844671912,-0.976074,-0.146973,0.13916
42844692924,-0.98291,-0.134766,0.139648
42844716152,-0.974121,-0.10498,0.132324
42844730508,-0.970215,-0.106934,0.12793
42844752982,-0.966797,-0.110352,0.129395
42844776334,-0.970703,-0.115234,0.138184
42844790550,-0.96582,-0.120605,0.153809
42844813014,-0.983887,-0.129395,0.15625
42844836242,-0.966797,-0.113281,0.154297
42844850474,-0.972656,-0.11084,0.14209
42844873054,-0.975098,-0.105469,0.141602
42844896135,-0.980469,-0.112793,0.150391
42844910494,-0.979492,-0.120117,0.157227
42844949303,-0.962402,-0.116211,0.161133
42844955449,-0.978516,-0.106934,0.157715
42844978758,-0.976074,-0.0981445,0.147461
42844993007,-0.963379,-0.0927734,0.155273
42845016873,-0.97168,-0.101562,0.155762
42845030510,-0.981445,-0.111328,0.152344
42845054415,-0.982422,-0.116211,0.158691
42845075630,-0.978516,-0.121582,0.158691
42845090495,-0.966309,-0.10791,0.148926
42845112992,-0.975586,-0.0966797,0.147461
42845135579,-0.980957,-0.097168,0.153809
42845150450,-0.986816,-0.121582,0.158203
42845173133,-0.987793,-0.12793,0.15332
42845195469,-0.982422,-0.116699,0.151367
42845210515,-0.986328,-0.102051,0.142578
42845233032,-0.985352,-0.0942383,0.145508
42845256960,-0.989746,-0.110352,0.143066
42845270523,-0.992188,-0.119629,0.151855
42845293026,-0.993652,-0.121094,0.141602
42845315467,-0.996582,-0.113281,0.143555
42845333634,-0.999512,-0.113281,0.140137
42845361190,-0.994141,-0.119629,0.148438
42845375618,-0.984863,-0.117188,0.152344
42845390491,-0.967285,-0.113281,0.154785
42845413015,-0.95459,-0.120117,0.174805
42845435647,-0.945801,-0.125977,0.169434
42845450552,-0.944824,-0.125977,0.15918
42845473204,-0.950195,-0.121094,0.156738
42845497652,-0.948242,-0.117676,0.149902
42845510505,-0.969238,-0.114258,0.148926
42845533144,-0.966797,-0.103027,0.152832
42845555514,-0.975098,-0.114746,0.157715
42845570692,-0.97168,-0.111328,0.168945
42845601169,-0.974121,-0.105469,0.16748
42845609471,-0.964355,-0.10498,0.171387
42845638762,-0.96582,-0.0981445,0.162598
42845652995,-0.972168,-0.11084,0.167969
42845669606,-0.975098,-0.131348,0.166992
42845690557,-0.97168,-0.141113,0.166504
42845713044,-0.966309,-0.139648,0.181641
42845729622,-0.967773,-0.138672,0.202637
42845751954,-0.967773,-0.157227,0.227051
42845773157,-0.949707,-0.168457,0.257812
42845795578,-0.937988,-0.160156,0.28418
42845813433,-0.925781,-0.167969,0.318359
42845833181,-0.904785,-0.163086,0.349121
42845855539,-0.890137,-0.148438,0.368652
42845873577,-0.881348,-0.122559,0.404297
42845893076,-0.893066,-0.123535,0.431152
42845917088,-0.887207,-0.148438,0.485352
42845932026,-0.862793,-0.163574,0.512695
42845955964,-0.822266,-0.155762,0.526855
42845975678,-0.77832,-0.123535,0.549316
42845991997,-0.734863,-0.0722656,0.557617
42846013021,-0.706055,-0.0771484,0.551758
42846029519,-0.666504,-0.0805664,0.565918
42846051979,-0.642578,-0.0917969,0.550781
42846073184,-0.603027,-0.0878906,0.541992
42846089533,-0.574707,-0.0722656,0.498047
42846112019,-0.520996,-0.0732422,0.450684
42846133204,-0.474121,-0.0737305,0.399414
42846149517,-0.464844,-0.0644531,0.378418
42846172119,-0.460938,-0.0727539,0.353516
42846193042,-0.50293,-0.0678711,0.343262
42846209512,-0.643066,-0.0449219,0.311523
42846232156,-0.662598,-0.0400391,0.262695
42846253010,-0.65625,-0.09375,0.272461
42846269475,-0.694336,-0.123047,0.266602
42846291989,-0.771484,-0.17041,0.240234
42846313028,-0.810059,-0.1875,0.260254
42846330980,-0.732422,-0.217285,0.289551
42846352025,-0.73291,-0.155762,0.296387
42846373097,-0.834961,-0.0854492,0.29248
42846389563,-0.950684,-0.159668,0.291016
42846412034,-1.05713,-0.225098,0.368164
42846433266,-1.17236,-0.209473,0.322754
42846450985,-1.2251,-0.221191,0.242676
42846472160,-1.21973,-0.234863,0.292969
42846493108,-1.14453,-0.268066,0.400391
42846510975,-1.03906,-0.193848,0.489258
42846539525,-1.06787,-0.151367,0.489258
42846555949,-1.01514,-0.100098,0.530762
