timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
42844491146,3,1,0,1,6,-1,-1,1
42844491146,-1,-1,-2,-1,0,0,0,0
42844497901,-2,-3,-2,4,3,-1,-1,-3
42844497901,1,-1,-1,-7,-21,-4,0,-2
42844505438,0,-2,0,3,-7,-1,1,-2
42844505438,-2,1,-2,-5,-3,1,0,-1
42844521165,2,2,2,7,21,-1,-2,1
42844521165,-2,2,-1,-8,-3,-2,1,0
42844521999,-1,1,1,12,5,-2,0,0
42844521999,0,-3,-2,-10,24,5,-4,0
42844536920,-3,0,2,20,8,0,2,1
42844536920,0,0,0,1,-13,-5,-2,-1
42844542898,-2,0,-1,-7,-26,-2,0,-2
42844542898,0,-2,-4,-5,1,-3,0,-3
42844557917,-3,-4,-2,-9,-11,8,-2,-1
42844557917,0,1,1,11,9,-3,-2,-1
42844565430,-1,-2,-1,-7,1,-2,0,-1
42844565430,-1,0,1,1,9,-1,-2,0
42844581079,1,-1,1,-11,-6,-1,1,0
42844581079,-1,-3,0,-5,11,-1,4,0
42844581854,0,-1,0,-5,-21,-1,-2,-2
42844581854,-1,-3,1,-3,6,-4,-1,-1
42844596923,-2,-1,-4,5,-2,-4,-2,-1
42844596923,-1,-1,0,-7,-13,-1,0,1
42844602910,1,-3,-1,3,21,2,-3,-1
42844602910,3,-2,-3,-3,-10,-2,-1,-1
42844617937,0,1,1,-7,8,3,-1,-1
42844617937,-2,1,0,0,-17,-3,-2,-2
42844625532,-1,0,2,7,3,1,-1,-2
42844625532,0,1,-1,-7,14,6,0,-2
42844641157,1,-2,1,8,8,0,-1,-1
42844641157,-1,-3,-4,1,5,1,0,-3
42844641862,0,-2,-1,-2,1,-1,-2,0
42844641862,0,-2,0,0,-25,-1,1,3
42844656958,-2,1,-1,-12,-18,-7,-2,-2
42844656958,0,3,0,-1,15,4,-1,-1
42844671146,0,1,-1,-9,8,-11,-1,0
42844671146,0,-1,2,20,-2,1,0,0
42844677911,-1,-2,-2,-7,-12,-1,1,-1
42844677911,0,-2,2,-1,3,-2,1,1
42844685404,-2,-1,-3,1,-8,4,0,-2
42844685404,-2,0,-1,-9,-7,-6,0,0
42844701054,1,1,0,13,42,-2,2,2
42844701054,1,-3,-1,-1,-8,2,-1,0
42844701852,-1,1,0,10,21,4,-3,-1
42844701852,0,0,-1,-5,-3,-3,-1,-2
42844716950,-2,0,1,1,-8,0,-2,-3
42844716950,-1,0,1,-5,8,-3,0,0
42844722926,0,0,0,3,-10,3,-2,1
42844722926,-3,0,-2,1,-8,-15,-2,-1
42844746091,0,-2,-1,-9,5,7,-2,0
42844746091,1,-2,0,2,-3,-2,-4,-1
42844746912,-2,0,-2,-3,-4,-5,2,-3
42844746912,0,1,0,12,4,3,0,-2
42844761057,0,-1,-1,-2,-15,-3,0,-5
42844761057,0,-3,0,-7,-21,-1,1,0
42844761861,1,-1,1,10,49,4,-4,1
42844761861,-1,-2,-1,-14,-14,-1,0,1
42844776943,-2,-2,-1,3,-4,-2,-1,0
42844776943,0,0,1,4,-2,0,-1,1
42844782991,0,-2,-2,-12,-6,1,1,1
42844782991,-1,-1,-1,6,1,1,0,0
42844806075,-2,-1,-1,0,-14,-6,-1,0
42844806075,0,0,-1,2,23,6,-1,-3
42844806870,-2,-1,-1,-1,-11,-5,1,1
42844806870,-2,-1,-2,-5,8,-2,-1,0
42844820583,-1,-1,0,3,-6,-1,-2,-3
42844820583,-2,0,-2,-14,-32,-3,0,0
42844827957,-2,0,0,14,-14,0,0,-2
42844827957,-1,-2,0,7,3,3,1,-4
42844837020,-1,-1,-3,-21,-21,-5,0,1
42844837020,-1,-1,-2,11,14,2,-1,-1
42844842940,0,1,0,-3,-2,-2,-4,-3
42844842940,1,0,1,-3,3,4,1,1
42844857917,-3,0,-1,4,-6,-5,-1,0
42844857917,-2,-1,-1,-7,7,1,-1,1
42844865441,0,0,-1,-4,-6,-1,0,-1
42844865441,0,0,-1,9,-1,3,1,1
42844880578,0,-1,0,-10,-6,1,0,0
42844880578,-3,-2,-1,1,2,-1,0,-1
42844888030,-1,-3,-2,-9,-8,-1,2,0
42844888030,0,0,-1,-2,-3,-1,-4,-1
42844896903,-1,1,0,-3,6,0,0,1
42844896903,-1,1,-1,-1,0,-6,0,-1
42844902928,-2,-3,0,12,10,2,0,3
42844902928,0,1,-3,-13,-21,-3,-2,-1
42844918073,0,0,-1,-5,-11,7,1,-1
42844918073,0,-1,0,7,25,4,-3,-1
42844925630,0,-2,-3,-6,9,-4,4,-2
42844925630,-2,-2,0,-2,-1,-3,1,0
42844950082,-1,0,-2,6,5,0,-1,-4
42844950082,-1,-1,1,-7,-7,-2,0,0
42844950874,3,0,0,10,34,5,-2,1
42844950874,-1,-1,-1,-12,-6,-1,0,-1
42844963613,1,-3,2,3,7,3,-1,0
42844963613,-2,1,-1,-1,-6,-2,-1,-1
42844964417,-3,1,-3,0,1,-4,0,-2
42844964417,-2,-2,-4,-2,-10,1,0,-1
42844979458,0,-1,-3,9,19,2,0,-1
42844979458,1,-1,2,3,-22,-3,-1,0
42844985581,-1,-1,-1,-13,-5,7,-1,1
42844985581,0,0,3,8,-2,-13,-1,-2
42845000433,0,0,-3,-3,25,-10,-2,1
42845000433,-1,-3,-3,2,-28,10,3,-2
42845016103,1,-1,-1,-12,-27,0,-2,-3
42845016103,-3,-1,0,-8,0,3,0,0
42845023650,-1,1,1,11,-11,-2,-2,-3
42845023650,0,0,-2,-3,21,-3,0,-1
42845024443,-2,1,-1,4,-3,-1,-2,-1
42845024443,1,-1,-4,-2,1,2,-1,0
42845038078,1,0,1,-8,-7,0,-1,0
42845038078,-2,0,0,8,-3,0,-1,-2
42845053621,-2,1,0,-5,-8,-1,0,-3
42845053621,1,0,-1,3,-3,-2,-2,-1
42845060434,-2,-1,1,-6,-4,-3,0,0
42845060434,1,-1,-2,5,23,3,-1,0
42845068010,-1,-2,2,3,13,-10,2,0
42845068010,-2,-3,-3,-10,-6,5,1,0
42845083669,0,-1,-2,7,11,2,0,1
42845083669,1,0,2,8,3,-4,-2,1
42845084561,-1,-2,-1,0,-8,1,-2,0
42845084561,1,0,0,-2,18,2,1,-3
42845097995,-1,0,3,1,-10,3,1,0
42845097995,1,0,-5,-10,-15,-2,0,0
42845105443,0,1,-1,0,4,-2,-1,-1
42845105443,0,0,2,2,9,-1,-2,-2
42845120533,0,-1,-2,-4,-3,-2,1,-1
42845120533,1,1,2,4,19,0,0,-1
42845127960,-2,-2,-2,-5,-19,3,-1,0
42845127960,0,-2,1,-6,0,-3,0,0
42845143589,-1,0,-1,11,4,-2,-1,0
42845143589,-2,-2,-1,-4,-4,0,-3,-2
42845144388,-1,-2,0,-7,-12,-7,1,-1
42845144388,-2,0,-2,-3,-10,2,-1,0
42845157923,0,0,0,1,11,3,2,-1
42845157923,0,-1,-1,-1,8,-2,2,0
42845165443,1,-2,-2,0,1,2,-3,1
42845165443,1,-1,-1,4,11,7,-2,2
42845180554,-2,-3,-2,-12,-31,-4,-1,0
42845180554,-1,1,1,5,-2,-5,1,-1
42845188007,0,-1,-1,-4,1,6,1,0
42845188007,-3,-3,1,5,5,-2,1,-1
42845203620,2,0,-2,-3,-7,-3,-2,-2
42845203620,-2,-1,1,2,5,0,0,-1
42845204417,0,1,1,4,2,-6,-2,0
42845204417,-1,2,0,3,15,1,-1,-1
42845226283,-3,-3,-3,-9,-36,-13,-4,-2
42845226283,0,0,2,-4,3,-3,0,1
42845226876,1,0,1,1,36,3,0,-2
42845226876,2,-2,1,15,-7,-2,-1,-1
42845240489,-2,-1,-2,3,9,2,-2,-1
42845240489,-3,-2,-2,-8,-31,-2,-2,0
42845256152,-2,-1,-3,-7,-12,-1,-1,0
42845256152,1,0,-2,-3,10,0,1,1
42845263621,-1,-1,0,7,-2,3,0,0
42845263621,-1,-1,-2,-7,5,-5,-1,-1
42845264421,-2,0,3,21,30,3,1,2
42845264421,-2,0,-4,-17,-27,1,0,-4
42845277905,0,0,3,11,18,-3,4,1
42845277905,-1,-2,-1,-7,2,2,-2,-3
42845285509,2,-2,0,3,-6,-2,-3,-2
42845285509,-1,0,-2,3,-3,-4,-1,-1
42845300463,-2,-1,-1,-11,3,4,-2,2
42845300463,1,-1,-3,3,3,0,2,0
42845307938,-1,-2,-5,-1,-23,-5,-1,0
42845307938,0,-2,1,-8,8,2,0,0
42845331969,-1,0,-1,-12,-3,1,-3,-3
42845331969,-3,-2,-1,12,-2,-2,-2,0
42845332754,-2,-1,-2,-9,-17,-2,0,-3
42845332754,-2,-1,-1,-1,-1,-2,0,2
42845338011,0,-1,-2,-11,-9,-3,0,-1
42845338011,1,2,0,-3,6,2,0,0
42845345462,0,-4,-3,0,-6,4,-1,0
42845345462,-1,-2,-1,1,-23,-5,-2,-2
42845361971,0,-2,-1,7,33,6,1,-1
42845361971,-2,0,-2,-7,-8,0,3,0
42845368113,-1,1,0,-1,2,-1,2,-1
42845368113,1,-1,1,4,1,1,-3,-1
42845383781,-1,0,-1,-1,-12,-14,0,1
42845383781,1,1,2,-7,-1,1,-1,-1
42845384547,-1,1,1,6,-12,4,5,0
42845384547,-1,-1,-5,5,16,-3,0,3
42845397958,0,1,0,-1,-9,-1,-4,-4
42845397958,-3,-4,-4,-13,-4,0,-3,-1
42845405464,0,-1,0,1,4,-3,-1,-1
42845405464,-3,0,0,6,1,-1,-1,-2
42845420606,-2,-4,-3,-9,-7,-1,-1,-1
42845420606,2,2,1,17,23,-2,2,3
42845427971,-2,-3,-1,-10,1,0,-1,-2
42845427971,1,0,-1,2,0,-4,0,-1
42845443623,0,0,0,-3,9,2,-1,-3
42845443623,1,-1,1,7,9,-1,-2,-1
42845444428,0,-1,-3,1,-11,-1,-3,-1
42845444428,-2,1,2,-4,12,-1,-1,3
42845457974,-1,-3,-1,3,-1,5,-1,0
42845457974,-2,-2,-1,-20,-13,-2,-1,-3
42845465456,-1,0,0,16,-4,1,0,1
42845465456,0,-1,-2,7,12,0,0,-3
42845480656,1,1,1,0,-4,3,0,1
42845480656,-1,-2,-4,-5,-13,-3,-2,-3
42845496829,-3,-1,0,-5,1,-1,-3,-1
42845496829,-2,1,1,-2,-14,0,-1,-2
42845503613,-1,-1,-5,-5,14,-2,2,0
42845503613,-3,-2,-1,8,-8,-1,-2,-2
42845504411,0,1,1,-8,17,-2,-2,-1
42845504411,-1,-1,-2,2,-21,3,-1,-2
42845517944,-1,1,-2,0,4,2,-1,-1
42845517944,-3,-2,-1,2,11,0,-3,0
42845525545,-2,0,0,-3,-6,0,0,0
42845525545,3,0,2,-9,19,-4,-1,0
42845540482,0,-1,1,4,17,1,-1,-3
42845540482,0,1,2,-21,-1,1,2,-1
42845547962,1,0,0,22,-1,-2,-2,-4
42845547962,-3,-2,-2,-3,-2,-2,0,-2
42845563601,-1,0,0,3,10,-4,2,3
42845563601,0,0,0,4,-22,1,0,-1
42845564412,2,0,-2,-10,3,-2,1,1
