timestamp,x,y,z
42844491882,-10.3125,-5.5,5.5625
42844512946,-5.75,-5.625,5.1875
42844536243,-5.375,-5,4.3125
42844550474,-5.5,-3.9375,4.1875
42844572972,-5.25,-2.875,5
42844596080,-2.8125,-1.5625,4.1875
42844610441,-3.625,-1.4375,3.1875
42844633047,-7.125,-1.875,2.9375
42844656202,-8.25,-0.8125,3.1875
42844671912,-4.8125,-0.375,3.9375
42844692924,-0.25,-0.6875,3.9375
42844716152,2.1875,-0.8125,4.1875
42844730508,-0.25,-0.625,4.3125
42844752982,-2.375,-1,4.125
42844776334,-2.9375,-0.8125,4
42844790550,-1.9375,0.1875,3.25
42844813014,0.3125,0.25,3.625
42844836242,2.125,0.8125,3.375
42844850474,1.25,1.3125,3.3125
42844873054,-0.75,1.5625,2.75
42844896135,-3.3125,1.1875,2.1875
42844910494,-3,0.4375,2.1875
42844949303,0.25,0.875,1.9375
42844955449,1.3125,1.25,2.125
42844978758,1.3125,1.125,2.125
42844993007,-1.125,1.25,1.6875
42845016873,-1.875,1.5625,0.9375
42845030510,-2.625,0.8125,0.6875
42845054415,-3,0.4375,0.4375
42845075630,0,-0.4375,1
42845090495,2.9375,-0.5,1.0625
42845112992,0.75,0.3125,0.75
42845135579,-2.9375,-0.125,-0.6875
42845150450,-4,-0.625,-1.3125
42845173133,-1.125,-0.375,-0.4375
42845195469,0.875,0,0.5
42845210515,0.5,-0.3125,0.25
42845233032,-1.6875,-1.875,-0.75
42845256960,-3.25,-2.8125,-0.9375
42845270523,-2.5625,-3.1875,-1.0625
42845293026,2.625,-3.9375,-1.3125
42845315467,4.3125,-5.0625,-1.1875
42845333634,4.0625,-5.8125,-1.8125
42845361190,5,-5.8125,-2.0625
42845375618,5.6875,-5,-2.375
42845390491,3.9375,-4.0625,-2.875
42845413015,2.4375,-3,-3.625
42845435647,2.1875,-1.0625,-4.125
42845450552,1.8125,0.5,-4.75
42845473204,1.375,0.5625,-4.875
42845497652,2.3125,0.125,-5.5625
42845510505,3.875,-0.625,-5.25
42845533144,5.3125,-1.3125,-5.9375
42845555514,7.5625,-2.3125,-5.9375
