timestamp,x,y,z,w
42844491882,0.463257,0.448853,-0.613647,0.455261
42844512946,0.46283,0.448853,-0.613037,0.456543
42844536243,0.462463,0.448792,-0.612427,0.457764
42844550474,0.462219,0.448975,-0.611755,0.45874
42844572972,0.462097,0.449341,-0.610962,0.459595
42844596080,0.462341,0.449463,-0.610229,0.460144
42844610441,0.462524,0.449829,-0.609436,0.460693
42844633047,0.462341,0.450378,-0.608521,0.461609
42844656202,0.461975,0.451172,-0.607544,0.462463
42844671912,0.461853,0.45166,-0.606812,0.463013
42844692924,0.462158,0.451599,-0.606445,0.463257
42844716152,0.462891,0.451111,-0.606079,0.463562
42844730508,0.46344,0.450867,-0.60553,0.463928
42844752982,0.463684,0.450867,-0.604858,0.464539
42844776334,0.463806,0.450989,-0.604248,0.465149
42844790550,0.463928,0.45105,-0.603821,0.465515
42844813014,0.464172,0.450867,-0.603577,0.465698
42844836242,0.464722,0.4505,-0.603394,0.465759
42844850474,0.465332,0.450317,-0.603027,0.46582
42844873054,0.46582,0.450378,-0.602478,0.466003
42844896135,0.465881,0.450745,-0.601929,0.466309
42844910494,0.465759,0.45105,-0.601501,0.466675
42844949303,0.465942,0.450928,-0.601379,0.466736
42844955449,0.46637,0.450745,-0.601196,0.466797
42844978758,0.466858,0.4505,-0.600952,0.466797
42844993007,0.467102,0.4505,-0.600586,0.467041
42845016873,0.467163,0.450745,-0.60022,0.467163
42845030510,0.467102,0.451111,-0.599915,0.467346
42845054415,0.466858,0.451477,-0.59967,0.467529
42845075630,0.466797,0.451477,-0.599731,0.46759
42845090495,0.467041,0.45105,-0.599854,0.467407
42845112992,0.467102,0.45105,-0.599854,0.467407
42845135579,0.466858,0.451416,-0.599609,0.467651
42845150450,0.466248,0.451965,-0.599548,0.467773
42845173133,0.466003,0.452271,-0.599609,0.467712
42845195469,0.466003,0.452271,-0.599609,0.467712
42845210515,0.466003,0.452271,-0.599548,0.467651
42845233032,0.46582,0.452332,-0.599548,0.467896
42845256960,0.465271,0.452637,-0.599487,0.468201
42845270523,0.4646,0.452881,-0.599609,0.468445
42845293026,0.464417,0.452576,-0.60022,0.468262
42845315467,0.464233,0.451904,-0.600952,0.468079
42845333634,0.463989,0.451355,-0.601746,0.467896
42845361190,0.463684,0.450684,-0.602722,0.46759
42845375618,0.463501,0.450012,-0.603699,0.467163
42845390491,0.463196,0.449524,-0.604492,0.466797
42845413015,0.462646,0.449341,-0.605347,0.466431
42845435647,0.46228,0.449402,-0.606079,0.46582
42845450552,0.462036,0.449768,-0.606567,0.465027
42845473204,0.461792,0.450134,-0.607056,0.464294
42845497652,0.46167,0.450439,-0.607605,0.46344
42845510505,0.46167,0.450439,-0.608215,0.462524
