timestamp,roll,pitch,yaw
42844491882,-0.655524,1.35705,-2.4003
42844512946,-0.648202,1.35734,-2.39063
42844536243,-0.640606,1.35746,-2.38086
42844550474,-0.636235,1.35805,-2.37439
42844572972,-0.633846,1.3591,-2.36985
42844596080,-0.630955,1.36019,-2.36575
42844610441,-0.630117,1.36173,-2.36338
42844633047,-0.628712,1.36299,-2.3594
42844656202,-0.629425,1.36374,-2.35708
42844671912,-0.629484,1.36434,-2.3552
42844692924,-0.627172,1.3653,-2.35264
42844716152,-0.621004,1.36713,-2.34705
42844730508,-0.616034,1.36843,-2.34192
42844752982,-0.611628,1.36954,-2.33645
42844776334,-0.608458,1.37077,-2.33207
42844790550,-0.606259,1.37147,-2.32912
42844813014,-0.603121,1.37179,-2.32594
42844836242,-0.599233,1.37284,-2.32273
42844850474,-0.596583,1.37427,-2.32045
42844873054,-0.595068,1.3758,-2.31863
42844896135,-0.595621,1.37672,-2.31801
42844910494,-0.595507,1.37709,-2.31666
42844949303,-0.59377,1.37733,-2.31502
42844955449,-0.591488,1.37852,-2.31315
42844978758,-0.588639,1.37921,-2.31074
42844993007,-0.586524,1.38011,-2.30826
42845016873,-0.587231,1.38048,-2.30824
42845030510,-0.589061,1.38126,-2.30922
42845054415,-0.590885,1.38119,-2.30998
42845075630,-0.590791,1.3814,-2.30989
42845090495,-0.587834,1.38056,-2.30775
42845112992,-0.587918,1.38095,-2.30795
42845135579,-0.58949,1.38117,-2.30845
42845150450,-0.593723,1.3803,-2.31131
42845173133,-0.597101,1.38027,-2.31432
42845195469,-0.597101,1.38027,-2.31432
42845210515,-0.597109,1.37968,-2.31421
42845233032,-0.596498,1.37999,-2.31321
42845256960,-0.59746,1.37918,-2.31293
42845270523,-0.598568,1.37791,-2.31297
42845293026,-0.598221,1.37737,-2.31365
42845315467,-0.594545,1.37564,-2.31134
42845333634,-0.592326,1.37442,-2.31048
42845361190,-0.589989,1.37256,-2.30982
42845375618,-0.588315,1.3709,-2.31007
42845390491,-0.587422,1.36881,-2.31045
42845413015,-0.589487,1.36695,-2.31341
42845435647,-0.594625,1.36568,-2.31951
42845450552,-0.602661,1.36462,-2.3282
42845473204,-0.610407,1.36382,-2.33658
42845497652,-0.618337,1.3632,-2.34553
42845510505,-0.623832,1.36194,-2.35251
42845533144,-0.628119,1.36121,-2.35876
42845555514,-0.630807,1.35954,-2.36434
42845570692,-0.629584,1.35781,-2.36709
42845601169,-0.62563,1.35594,-2.36755
42845609471,-0.619688,1.35434,-2.36695
42845638762,-0.612916,1.35283,-2.3647
