timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
32912507588,0,-3,-8,-8,1,0,-1,0
32912507588,-3,-1,-1,-6,-1,-2,-3,-5
32912508397,3,-2,11,49,8,2,1,-1
32912508397,-1,-2,-4,-23,-4,0,0,-1
32912509299,0,2,-6,-5,-2,0,0,-2
32912509299,-2,-4,-6,1,-4,0,-1,0
32912510050,0,1,-4,-22,-3,-2,-1,-1
32912510050,-2,0,5,1,-1,-3,-1,1
32912515310,0,-3,-11,13,-1,0,0,0
32912515310,0,3,-1,-4,4,-1,0,1
32912529470,-1,-1,-4,-7,-4,-1,1,-2
32912529470,-1,-2,-2,-2,-1,-1,-1,1
32912535070,-2,-2,5,20,-2,-1,-1,-2
32912535070,0,-1,13,-18,-4,-2,0,-1
32912550832,-2,-1,-1,-6,4,-1,1,0
32912550832,0,2,-8,-5,-1,-1,0,-3
32912558755,-1,3,9,33,3,2,-2,-1
32912558755,0,-2,-4,-2,0,1,0,-1
32912573795,-2,0,5,-14,-3,-3,-3,0
32912573795,-2,-2,-11,30,-1,-1,-1,0
32912581545,0,0,-5,-20,-2,-2,-1,1
32912581545,-1,3,1,9,-7,-3,1,-1
32912594768,-1,-2,8,-16,-6,-1,-2,-1
32912594768,0,0,-10,29,3,0,0,-1
32912636536,0,-2,3,-8,-1,1,0,0
32912636536,-1,0,0,-6,-4,0,-1,-2
32912637401,-2,-1,-2,-8,-3,-2,-1,0
32912637401,0,0,-5,24,1,2,0,1
32912640499,0,2,8,1,0,0,-2,0
32912640499,0,-4,-31,-10,-4,-1,0,-1
32912641440,0,0,8,-2,0,0,0,-2
32912641440,-1,-2,7,-8,-1,-2,0,1
32912648124,-1,-3,-6,4,-3,-3,1,0
32912648124,-1,-1,8,-3,0,0,-1,1
32912654890,-1,2,-5,5,-4,0,-2,-1
32912654890,-2,-3,-4,-35,0,-1,0,-3
32912662468,1,4,13,73,13,2,2,0
32912662468,-2,-2,-14,-57,-3,-1,0,0
32912677455,-1,-1,24,37,0,-2,-3,-1
32912677455,-1,2,0,2,2,-1,-1,-3
32912685615,-1,0,2,-27,-5,-3,-2,-1
32912685615,-1,-1,6,19,2,1,1,-1
32912708771,-2,-2,-22,-11,-1,-2,0,1
32912708771,0,-2,1,-4,-11,0,0,-2
32912709478,0,0,-7,-19,-3,3,-2,0
32912709478,1,1,-10,32,4,0,0,-1
32912723109,-1,-1,8,-24,-3,-2,-1,-1
32912723109,-1,-2,2,22,-4,1,0,0
32912723752,-1,-3,-11,-15,-1,-1,-1,-4
32912723752,-1,0,6,-1,-1,0,-1,-1
32912746245,2,-1,-9,9,1,0,-2,-2
32912746245,0,1,-2,-23,-3,-3,-1,0
32912746967,0,-4,-5,6,5,-4,-1,-2
32912746967,-1,4,9,39,6,-2,0,0
32912768760,-2,0,-3,-32,-4,-1,1,-1
32912768760,-1,-2,15,28,1,1,1,0
32912769442,1,-3,-10,-24,-2,0,1,0
32912769442,0,0,-1,-1,-5,-2,-2,1
32912783086,2,0,15,-3,1,1,1,-2
32912783086,2,0,-11,-3,0,-1,-3,1
32912783769,-1,0,-1,-3,-5,-1,-3,-1
32912783769,1,-2,0,3,2,-2,-1,0
32912806273,-2,0,-1,2,1,0,-1,1
32912806273,-2,-2,16,-6,-6,-1,0,-1
32912806964,-1,0,0,17,6,0,0,-2
32912806964,0,-4,-16,-16,2,-1,0,1
32912828822,1,0,-4,16,3,-1,1,0
32912828822,-1,-2,-15,-7,0,-3,-1,0
32912829438,0,1,9,0,-5,-3,1,-1
32912829438,0,1,-5,-8,-6,-1,-1,-1
32912843133,0,-2,5,16,1,-1,1,-1
32912843133,-1,2,-21,-13,5,-2,-1,-2
32912843772,-1,-3,-14,-22,-14,-3,-1,-2
32912843772,-3,-3,8,-9,-2,2,3,1
32912866291,0,1,4,-9,5,1,0,1
32912866291,-1,1,16,17,-4,0,-2,-3
32912866920,1,0,2,8,-1,-1,-2,1
32912866920,-1,-1,3,0,-1,1,0,-1
32912888752,-3,-5,-18,-14,-3,-2,-2,0
32912888752,2,2,-6,15,9,4,0,1
32912889459,0,0,3,-23,-2,-1,-1,2
32912889459,0,2,6,9,-3,-3,-2,-2
32912902958,0,1,6,17,-6,0,-1,-2
32912902958,-2,-2,2,-10,9,-1,-2,1
32912903860,-2,-1,-2,1,1,2,-1,0
32912903860,-2,1,18,5,1,1,-1,-1
32912926276,-1,-2,-17,-7,0,-3,0,-3
