timestamp,x,y,z
32912347239,1.0625,0.3125,-0.5
32912370006,0.5625,-0.125,0.125
32912393003,0.3125,-0.125,-0.1875
32912408648,1.125,0.3125,-0.375
32912430133,1.0625,0,0.125
32912452863,-0.875,-0.375,0
32912499532,-1.1875,-0.1875,-0.25
32912501443,-0.25,-0.0625,0.125
32912513640,-0.875,0.1875,-0.3125
32912531605,-0.9375,-0.0625,0.125
32912551530,-0.9375,-0.1875,0.3125
32912580708,0.1875,0.125,0
32912624824,0.375,0.125,0
32912635105,-0.3125,-0.25,0.125
32912635743,-0.125,-0.25,0.0625
32912648722,-0.375,0.0625,0
32912669952,0.3125,0.125,0.125
32912686308,-0.625,-0.125,-0.125
32912710450,-0.375,-0.25,-0.375
32912729877,0.625,0.0625,0
32912747909,0.5,0.0625,-0.25
32912770456,-0.375,-0.1875,0.3125
32912789931,-0.9375,-0.125,0
32912807909,0.0625,-0.1875,0.25
32912830413,0.0625,0,0.25
32912849917,-1.3125,-0.375,0.125
32912867919,-0.125,-0.4375,0.25
32912890334,-0.3125,0,-0.0625
32912909986,0.0625,0.125,0.125
32912927869,0.375,0.1875,-0.25
32912950465,-0.375,0.125,-0.125
32912969847,0.125,0.0625,0.0625
32912995454,-1,-0.125,0.375
32913010346,-0.875,-0.375,0.25
32913029901,0.0625,-0.1875,0
32913047769,-0.0625,0.125,0.0625
32913070342,0.5,0.1875,0
32913091467,0.125,0.125,0.0625
32913107957,0.0625,0.1875,0.1875
32913130453,0.0625,0.375,-0.0625
32913151248,0,0.3125,-0.0625
32913167749,-0.625,-0.125,-0.0625
32913190454,-0.1875,0.0625,-0.1875
32913210638,-0.5625,0.125,-0.4375
32913227114,-0.0625,0.1875,-0.125
32913249521,0.5625,0.1875,0.0625
32913272131,-0.6875,-0.125,-0.0625
32913286977,0.375,-0.125,0.0625
32913309579,-1.3125,-0.3125,0.125
32913330514,-0.875,-0.1875,-0.125
32913346945,0.25,0.0625,0.25
32913369633,-0.9375,-0.0625,0.125
32913390691,0,-0.0625,-0.125
32913407050,-0.5,0,-0.125
32913429551,-0.125,-0.125,-0.1875
32913450698,-0.1875,-0.0625,0.1875
32913466949,-0.125,0.0625,0.25
32913489491,-0.3125,-0.0625,0.1875
32913512023,0.4375,0.0625,-0.4375
32913527089,-0.3125,0,0
32913549464,-0.3125,-0.25,0.1875
32913571927,-1,-0.3125,0.25
32913586961,0.9375,0.25,-0.3125
32913615489,0.625,0.1875,-0.125
32913632011,0.6875,-0.125,-0.1875
